"contactor","contactee","contact.rate"
"5","15",41.0927152317881
"6","15",19.3377483443709
"7","15",29.0942028985507
"8","15",29.7407407407407
"9","15",36.7625899280576
"10","15",49.4270833333333
"11","15",103.091603053435
"12","15",109.5
"13","15",196.942446043165
"14","15",924.489051094891
"15","15",2045
"16","15",686.776315789474
"17","15",165.496894409938
"18","15",112.97619047619
"19","15",65.077519379845
"20","15",28.5652173913044
"25","15",19.1266375545852
"30","15",14.1747572815534
"35","15",25.5974025974026
"40","15",40.8391608391608
"45","15",55.453514739229
"50","15",45.8225108225108
"55","15",39.2214912280702
"60","15",13.9752252252252
"65","15",10.0228832951945
"65+","15",9.44547134935305
"1","16",46.5957446808511
"2","16",12.1666666666667
"3","16",23.1338028169014
"4","16",12.1666666666667
"5","16",19.3377483443709
"6","16",14.5033112582781
"7","16",39.6739130434783
"8","16",32.4444444444444
"9","16",31.5107913669065
"10","16",53.2291666666667
"11","16",47.3664122137405
"12","16",82.125
"13","16",91.9064748201439
"14","16",279.744525547445
"15","16",802.5
"16","16",2050.72368421053
"17","16",593.975155279503
"18","16",202.777777777778
"19","16",164.108527131783
"20","16",95.2173913043478
"25","16",35.8624454148472
"30","16",28.3495145631068
"35","16",32.2337662337662
"40","16",35.7342657342657
"45","16",74.4897959183673
"50","16",94.8051948051948
"55","16",36.0197368421053
"60","16",15.6193693693694
"65","16",16.7048054919908
"65+","16",16.1922365988909
"1","17",19.4148936170213
"2","17",30.4166666666667
"3","17",17.9929577464789
"4","17",12.1666666666667
"5","17",16.9205298013245
"6","17",19.3377483443709
"7","17",10.5797101449275
"8","17",13.5185185185185
"9","17",49.8920863309353
"10","17",30.4166666666667
"11","17",80.8015267175573
"12","17",50.1875
"13","17",57.7697841726619
"14","17",125.21897810219
"15","17",412.5
"16","17",864.473684210526
"17","17",1859.00621118012
"18","17",695.238095238095
"19","17",240.503875968992
"20","17",139.652173913043
"25","17",47.0196506550218
"30","17",59.3567961165049
"35","17",22.7532467532468
"40","17",30.6293706293706
"45","17",119.183673469388
"50","17",134.307359307359
"55","17",48.0263157894737
